time_ms,emg_value
19200,290.51
19250,279.93
19300,269.31
19350,256.66
19400,241.71
19450,225.78
19500,210.68
19550,197.57
19600,186.25
19650,175.43
19700,163.73
19750,150.83
19800,137.95
19850,127.43
19900,121.53
19950,121.09
20000,124.95
20050,130.31
20100,134.04
20150,134.11
20200,130.46
20250,124.75
20300,119.31
20350,115.82
20400,114.5
20450,114.22
20500,113.53
20550,111.7
20600,109.34
20650,108.1
20700,109.59
20750,114.22
20800,120.66
20850,126.31
20900,128.56
20950,126.12
21000,119.8
21050,112.08
21100,105.92
21150,103.35
21200,104.55
21250,108.01
21300,111.63
21350,113.87
21400,114.63
21450,114.98
21500,116.31
21550,119.15
21600,122.63
21650,124.84
21700,123.95
21750,119.4
21800,112.48
21850,105.89
21900,102.45
21950,103.69
22000,109.12
22050,116.45
22100,122.84
22150,126.26
22200,126.41
22250,124.53
22300,122.52
22350,121.63
22400,121.8
22450,121.83
22500,120.34
22550,116.91
22600,112.59
22650,109.56
22700,109.89
22750,114.37
22800,121.8
22850,129.49
22900,134.47
22950,134.97
23000,131.2
23050,125.17
23100,119.54
23150,116.27
23200,115.7
23250,116.72
23300,117.69
23350,117.58
23400,116.7
23450,116.41
23500,118.18
23550,122.39
23600,127.85
23650,132.18
23700,133.02
23750,129.34
23800,122.13
23850,114.0
23900,107.99
23950,106.06
24000,108.23
